CraneNO,OrderNO,ControlMode,RecTime,CurX,CurY,CurZ,CurHasCoil,PlanUpX,PlanUpY,PlanUpZ,PlanDownX,PlanDownY,PlanDownZ,
1_3,999999,4,20200925151232,89112,22040,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151233,89110,21148,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151234,89110,20160,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151235,89110,19073,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151236,89110,18183,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151237,89110,17195,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151238,89110,16110,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151239,89110,15122,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151240,89110,14234,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151241,89110,13149,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151242,89110,12159,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151243,89110,11301,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151244,89110,10363,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151245,89110,9547,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151246,89110,8871,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151247,89110,8154,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151248,89110,7604,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151249,89110,7194,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151250,89110,6802,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151251,89110,6551,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151252,89110,6410,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151253,89110,6301,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151254,89110,6212,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151255,89110,6112,5717,0,89120,5441,999999,999999,999999,999999,
1_3,999999,4,20200925151256,89110,6002,5717,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151257,89110,5912,5717,0,89120,5441,896,999999,999999,999999,
1_3,10422,4,20200925151258,89110,5812,5717,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151259,89110,5703,5717,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151300,89110,5613,5661,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151301,89110,5557,5543,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151302,89110,5499,5349,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151303,89110,5458,5193,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151304,89110,5456,5019,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151305,89110,5456,4829,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151306,89110,5456,4676,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151307,89110,5456,4502,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151308,89110,5456,4328,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151309,89110,5456,4157,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151310,89110,5456,4003,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151311,89110,5456,3811,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151312,89110,5456,3639,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151313,89110,5456,3483,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151314,89110,5456,3295,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151315,89110,5456,3138,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151316,89110,5456,2965,0,89120,5441,999999,999999,999999,999999,
1_3,10422,4,20200925151317,89110,5456,2778,0,89120,5441,999999,999999,999999,999999,
